Last_Name/Surname	Total1	American_Indian_and_Alaskan_Native2	Percentage3	Rank4	U.S._Rank5
MILLIGAN	22,416	231	1.03%	1,236	1,597
HATCHER	29,235	231	0.79%	1,237	1,210
NAVARRO	99,807	230	0.23%	1,238	315
AYERS	39,623	230	0.58%	1,239	875
MCKINLEY	24,000	230	0.96%	1,240	1,489
WILDER	31,018	230	0.74%	1,241	1,131
BLACKHORSE	252	230	91.27%	1,242	76,275
WALKINGEAGLE	240	230	95.83%	1,243	79,338
WHITEROCK	260	229	88.08%	1,244	74,375
SKEET	379	229	60.42%	1,245	54,418
TRAVERSIE	304	229	75.33%	1,246	65,244
BERG	48,746	229	0.47%	1,247	712
HEAD	27,292	229	0.84%	1,248	1,285
ABRAHAM	31,303	229	0.73%	1,249	1,120
BRITTON	29,040	229	0.79%	1,250	1,217
VICENTE	10,789	228	2.11%	1,251	3,326
LOVEJOY	8,351	228	2.73%	1,252	4,249
BEST	37,923	228	0.60%	1,253	911
MCLEOD	30,769	228	0.74%	1,254	1,141
TROTTIER	2,262	228	10.08%	1,255	13,462
BITSILLY	237	228	96.20%	1,256	80,131
MCFARLAND	41,300	227	0.55%	1,257	835
HEBERT	41,275	227	0.55%	1,258	836
HANNA	39,890	227	0.57%	1,259	867
SHERWOOD	21,384	227	1.06%	1,260	1,685
JUSTICE	32,480	227	0.70%	1,261	1,077
MAYS	40,408	226	0.56%	1,262	854
WORKMAN	31,856	226	0.71%	1,263	1,097
GARFIELD	4,447	226	5.08%	1,264	7,492
LAMONT	6,845	226	3.30%	1,265	5,114
ETHELBAH	244	226	92.62%	1,266	78,316
LITTLEMAN	287	225	78.40%	1,267	68,547
CALHOUN	43,180	225	0.52%	1,268	803
BRANT	10,886	224	2.06%	1,269	3,301
AVILA	97,314	224	0.23%	1,270	318
DALLAS	9,418	224	2.38%	1,271	3,761
MCCARTHY	82,950	224	0.27%	1,272	384
FRANCO	69,943	224	0.32%	1,273	476
PEASE	12,937	224	1.73%	1,274	2,790
SINGLETON	54,621	224	0.41%	1,275	622
SAYERS	7,705	224	2.91%	1,276	4,603
DOWNS	33,922	224	0.66%	1,277	1,025
LAROCQUE	3,032	224	7.39%	1,278	10,572
TINKER	6,291	224	3.56%	1,279	5,525
CHIEF	252	224	88.89%	1,280	76,275
POSEY	20,263	223	1.10%	1,281	1,773
GALLOWAY	34,909	223	0.64%	1,282	1,002
SWIFT	24,249	223	0.92%	1,283	1,473
TEAGUE	24,514	223	0.91%	1,284	1,456
DOTSON	33,347	223	0.67%	1,285	1,045
FLOOD	17,053	222	1.30%	1,286	2,125
LECLAIR	8,162	222	2.72%	1,287	4,351
STREET	19,866	222	1.12%	1,288	1,805
BAIRD	34,721	222	0.64%	1,289	1,010
CRABTREE	26,104	222	0.85%	1,290	1,354
PAQUIN	4,064	222	5.46%	1,291	8,159
MARTINE	2,227	222	9.97%	1,292	13,603
LAFFERTY	10,373	221	2.13%	1,293	3,443
SORRELL	8,641	221	2.56%	1,294	4,104
BURR	15,703	221	1.41%	1,295	2,323
BUCKNER	24,822	221	0.89%	1,296	1,434
DOWNEY	26,627	221	0.83%	1,297	1,320
GODFREY	28,734	221	0.77%	1,298	1,230
REDFOX	285	221	77.54%	1,299	68,949
LORETTO	576	221	38.37%	1,300	38,439
MCPHERSON	36,125	220	0.61%	1,301	965
ELDRIDGE	25,299	220	0.87%	1,302	1,402
BOGGS	27,880	220	0.79%	1,303	1,262
LASLEY	4,306	220	5.11%	1,304	7,710
YELLOW	264	220	83.33%	1,305	73,464
WASSILLIE	234	220	94.02%	1,306	80,926
ALTAHA	240	219	91.25%	1,307	79,338
LOCUST	612	219	35.78%	1,308	36,525
GACHUPIN	363	219	60.33%	1,309	56,310
YAHOLA	289	219	75.78%	1,310	68,122
CONDON	13,109	219	1.67%	1,311	2,752
FAULKNER	36,466	219	0.60%	1,312	952
WOOTEN	31,249	219	0.70%	1,313	1,123
DICKERSON	51,889	218	0.42%	1,314	659
GUIDRY	20,600	218	1.06%	1,315	1,739
BRANCH	35,225	218	0.62%	1,316	990
LOCKE	27,643	218	0.79%	1,317	1,272
BENALLIE	229	218	95.20%	1,318	82,317
WOFFORD	8,856	217	2.45%	1,319	4,011
PENNINGTON	40,854	217	0.53%	1,320	846
GOODE	22,356	217	0.97%	1,321	1,605
STOVER	24,526	216	0.88%	1,322	1,455
HOLCOMB	28,852	216	0.75%	1,323	1,227
BRANHAM	13,872	215	1.55%	1,324	2,599
STACY	19,010	215	1.13%	1,325	1,891
HORNE	37,689	215	0.57%	1,326	921
CUMMINS	20,705	215	1.04%	1,327	1,731
SNIDER	32,148	215	0.67%	1,328	1,088
WILBER	6,155	215	3.49%	1,329	5,642
CREE	1,670	215	12.87%	1,330	17,014
GREYEYES	240	215	89.58%	1,331	79,338
GUARDIPEE	278	215	77.34%	1,332	70,403
REDEAGLE	253	214	84.58%	1,333	76,029
ANTOINE	9,493	214	2.25%	1,334	3,734
MEADOWS	44,500	214	0.48%	1,335	773
MULLEN	37,502	214	0.57%	1,336	928
BILLINGS	22,553	214	0.95%	1,337	1,588
RIVAS	76,205	213	0.28%	1,338	426
BOLIN	12,962	213	1.64%	1,339	2,783
CHEEK	16,020	213	1.33%	1,340	2,273
ARMIJO	8,372	213	2.54%	1,341	4,232
PETTIT	19,004	213	1.12%	1,342	1,892
SHERIDAN	22,177	213	0.96%	1,343	1,623
RACINE	4,836	213	4.40%	1,344	6,933
SMALLCANYON	225	213	94.67%	1,345	83,541
GOODLUCK	441	213	48.30%	1,346	47,966
TORIVIO	347	213	61.38%	1,347	58,481
CAGLE	17,647	212	1.20%	1,348	2,039
STUART	36,540	212	0.58%	1,349	951
STANTON	35,997	212	0.59%	1,350	968
TAPIA	52,651	211	0.40%	1,351	647
BENEDICT	17,036	211	1.24%	1,352	2,130
THOMASON	20,478	211	1.03%	1,353	1,751
PEARCE	31,060	211	0.68%	1,354	1,129
PRIMEAUX	2,148	211	9.82%	1,355	14,025
MATUS	3,952	211	5.34%	1,356	8,375
PINE	6,592	211	3.20%	1,357	5,284
BLAINE	6,451	211	3.27%	1,358	5,397
DRAPEAU	1,408	211	14.99%	1,359	19,257
DEERE	1,930	211	10.93%	1,360	15,238
POURIER	283	211	74.56%	1,361	69,392
REDCLOUD	272	210	77.21%	1,362	71,678
CHEROMIAH	242	210	86.78%	1,363	78,821
MORSETTE	321	210	65.42%	1,364	62,359
DECORAH	312	210	67.31%	1,365	63,873
GENE	489	210	42.94%	1,366	44,034
STEVE	1,891	210	11.11%	1,367	15,483
GALLAGHER	69,834	210	0.30%	1,368	479
LUKE	18,425	210	1.14%	1,369	1,961
KEYS	18,899	210	1.11%	1,370	1,900
SAMUEL	23,125	210	0.91%	1,371	1,558
LANCASTER	32,362	210	0.65%	1,372	1,080
CORONADO	27,626	210	0.76%	1,373	1,274
DORSEY	43,631	209	0.48%	1,374	793
HAYS	34,191	209	0.61%	1,375	1,021
TARBELL	1,626	209	12.85%	1,376	17,367
ROAN	3,603	209	5.80%	1,377	9,073
THAYER	16,625	208	1.25%	1,378	2,186
PIPER	22,329	208	0.93%	1,379	1,607
NIX	24,786	208	0.84%	1,380	1,438
FREDERICKS	7,848	208	2.65%	1,381	4,515
BELIN	2,398	208	8.67%	1,382	12,837
LITTLEDOG	222	208	93.69%	1,383	84,463
WHITEFEATHER	254	207	81.50%	1,384	75,799
CLITSO	210	207	98.57%	1,385	88,336
DEGROAT	2,669	207	7.76%	1,386	11,739
LAPLANTE	7,195	207	2.88%	1,387	4,896
LAUGHLIN	16,323	207	1.27%	1,388	2,232
ADDISON	18,169	207	1.14%	1,389	1,986
REEDER	19,155	207	1.08%	1,390	1,874
JEFFRIES	23,510	207	0.88%	1,391	1,526
ALLERY	350	207	59.14%	1,392	58,042
EAGLEMAN	314	206	65.61%	1,393	63,524
SEALS	15,858	206	1.30%	1,394	2,299
MCCULLOUGH	45,852	206	0.45%	1,395	755
CHENEY	13,573	205	1.51%	1,396	2,655
GALVAN	53,822	205	0.38%	1,397	630
HARE	16,304	205	1.26%	1,398	2,236
GILLESPIE	42,693	205	0.48%	1,399	811
CONKLIN	23,846	205	0.86%	1,400	1,501
SILK	3,180	205	6.45%	1,401	10,140
LAROCHE	5,618	205	3.65%	1,402	6,104
DUPRIS	275	205	74.55%	1,403	71,042
DANFORTH	4,239	204	4.81%	1,404	7,810
PARISH	14,466	204	1.41%	1,405	2,498
SWEENEY	52,410	204	0.39%	1,406	651
POLLARD	35,749	204	0.57%	1,407	974
PAYTON	23,670	204	0.86%	1,408	1,515
GRIGGS	24,819	204	0.82%	1,409	1,437
SWAIN	25,157	204	0.81%	1,410	1,412
MCLEMORE	10,850	203	1.87%	1,411	3,306
HOPSON	12,180	203	1.67%	1,412	2,946
SALAS	65,468	203	0.31%	1,413	513
BARRON	52,070	203	0.39%	1,414	656
CLINTON	16,263	203	1.25%	1,415	2,242
PACE	39,879	203	0.51%	1,416	868
ODOM	35,020	203	0.58%	1,417	996
WOMACK	28,201	203	0.72%	1,418	1,245
DODD	30,732	203	0.66%	1,419	1,144
HAINES	29,462	203	0.69%	1,420	1,201
NOAH	5,332	203	3.81%	1,421	6,384
SMOKE	1,233	203	16.46%	1,422	21,260
CAMPOS	96,111	202	0.21%	1,423	323
WING	12,614	202	1.60%	1,424	2,858
VALENTINE	40,395	202	0.50%	1,425	856
GIPSON	19,470	202	1.04%	1,426	1,843
ELKINS	24,902	202	0.81%	1,427	1,426
HARDEN	26,617	202	0.76%	1,428	1,322
JAMISON	27,697	202	0.73%	1,429	1,270
STCLAIRE	941	202	21.47%	1,430	26,042
SPOTTEDBEAR	227	202	88.99%	1,431	82,908
STIFFARM	239	202	84.52%	1,432	79,598
SWIMMER	507	202	39.84%	1,433	42,720
SIXKILLER	456	201	44.08%	1,434	46,647
OLDMAN	370	201	54.32%	1,435	55,505
JAY	9,852	201	2.04%	1,436	3,604
MACDONALD	46,717	201	0.43%	1,437	744
COSAY	213	201	94.37%	1,438	87,335
CHOATE	11,372	200	1.76%	1,439	3,179
GATEWOOD	8,359	200	2.39%	1,440	4,242
SMALLWOOD	18,717	200	1.07%	1,441	1,926
PECK	40,055	200	0.50%	1,442	864
PETTIGREW	7,958	200	2.51%	1,443	4,458
DUKE	35,053	200	0.57%	1,444	995
MERCER	34,431	200	0.58%	1,445	1,016
BRIGHT	33,281	200	0.60%	1,446	1,050
HAIR	7,814	200	2.56%	1,447	4,539
CHIQUITO	958	200	20.88%	1,448	25,725
MENARD	11,543	199	1.72%	1,449	3,126
QUALLS	11,958	199	1.66%	1,450	2,999
SPENCE	36,129	199	0.55%	1,451	964
GOSS	26,179	199	0.76%	1,452	1,349
LUDLOW	3,856	199	5.16%	1,453	8,534
LEVI	7,500	199	2.65%	1,454	4,731
LAFROMBOISE	460	199	43.26%	1,455	46,314
ALONZO	20,367	198	0.97%	1,456	1,758
SHAH	58,287	198	0.34%	1,457	573
SECODY	206	198	96.12%	1,458	89,753
VICENTI	260	197	75.77%	1,459	74,375
REDELK	260	197	75.77%	1,460	74,375
STANDS	389	197	50.64%	1,461	53,204
CASH	29,476	197	0.67%	1,462	1,200
PINA	25,293	197	0.78%	1,463	1,403
GROVES	24,629	197	0.80%	1,464	1,447
HAMMONS	11,273	197	1.75%	1,465	3,206
SHAY	9,212	197	2.14%	1,466	3,843
APPLE	6,948	197	2.84%	1,467	5,050
LAUGHTER	1,937	197	10.17%	1,468	15,210
TYNER	6,819	196	2.87%	1,469	5,131
WELSH	30,153	196	0.65%	1,470	1,166
RUTLEDGE	26,887	196	0.73%	1,471	1,306
MIDDLETON	42,578	196	0.46%	1,472	813
BEATTY	25,510	196	0.77%	1,473	1,389
HELTON	25,118	196	0.78%	1,474	1,414
RITTER	33,252	196	0.59%	1,475	1,053
AMERICANHORSE	219	196	89.50%	1,476	85,357
GARDIPEE	515	196	38.06%	1,477	42,163
WALKINGSTICK	374	195	52.14%	1,478	54,990
ALLARD	10,047	195	1.94%	1,479	3,553
GILES	40,598	195	0.48%	1,480	849
BISSONETTE	1,409	195	13.84%	1,481	19,242
VANDEVER	1,169	195	16.68%	1,482	22,124
VERRET	2,199	195	8.87%	1,483	13,759
STANDINGBEAR	225	195	86.67%	1,484	83,541
BLUEBIRD	218	195	89.45%	1,485	85,659
HORSE	287	194	67.60%	1,486	68,547
TYSON	28,947	194	0.67%	1,487	1,221
LEAVITT	13,133	194	1.48%	1,488	2,743
JARVIS	35,350	194	0.55%	1,489	985
SINCLAIR	27,243	193	0.71%	1,490	1,290
BYERS	32,174	193	0.60%	1,491	1,087
POE	23,563	193	0.82%	1,492	1,522
VIVIER	724	193	26.66%	1,493	31,873
KINGFISHER	255	193	75.69%	1,494	75,564
BIGCROW	203	192	94.58%	1,495	90,853
TESSAY	206	192	93.20%	1,496	89,753
HYDE	29,094	192	0.66%	1,497	1,213
GAUTHIER	16,852	192	1.14%	1,498	2,153
SNEED	17,804	192	1.08%	1,499	2,027
HANLEY	19,240	192	1.00%	1,500	1,864
TATUM	24,558	192	0.78%	1,501	1,451
HARWOOD	11,238	192	1.71%	1,502	3,212
EUBANKS	20,424	192	0.94%	1,503	1,755
MCNEIL	34,368	192	0.56%	1,504	1,018
BOB	1,412	192	13.60%	1,505	19,223
DIVER	1,382	191	13.82%	1,506	19,538
BRUNO	30,883	191	0.62%	1,507	1,135
OAKES	17,499	191	1.09%	1,508	2,065
KEENE	17,711	191	1.08%	1,509	2,032
MESSER	20,306	191	0.94%	1,510	1,769
ERWIN	22,496	191	0.85%	1,511	1,594
TABAHA	200	191	95.50%	1,512	91,981
MCGESHICK	244	191	78.28%	1,513	78,316
APACHE	246	191	77.64%	1,514	77,788
BATTISE	406	190	46.80%	1,515	51,281
DUFFY	38,835	190	0.49%	1,516	892
BUZZARD	3,287	190	5.78%	1,517	9,845
DION	8,395	189	2.25%	1,518	4,225
DILLARD	31,021	189	0.61%	1,519	1,130
DYE	28,182	189	0.67%	1,520	1,246
MCINTYRE	43,842	189	0.43%	1,521	786
MCCORD	17,875	189	1.06%	1,522	2,019
COUCH	26,615	189	0.71%	1,523	1,323
GOMES	24,827	189	0.76%	1,524	1,433
SCHWARTZ	90,071	189	0.21%	1,525	345
ANTELOPE	211	189	89.57%	1,526	88,020
WHITEBIRD	272	188	69.12%	1,527	71,678
LITTLEBEAR	268	188	70.15%	1,528	72,568
TILLEY	15,758	188	1.19%	1,529	2,318
ROCHA	55,251	188	0.34%	1,530	613
COURTNEY	27,205	188	0.69%	1,531	1,294
PEMBERTON	11,272	188	1.67%	1,532	3,207
TOLBERT	24,375	188	0.77%	1,533	1,464
STILL	12,354	188	1.52%	1,534	2,904
LAY	18,468	187	1.01%	1,535	1,957
THURMAN	23,950	187	0.78%	1,536	1,492
KLEIN	81,471	187	0.23%	1,537	392
DAW	2,670	187	7.00%	1,538	11,736
PITKA	274	187	68.25%	1,539	71,265
CHASINGHAWK	200	187	93.50%	1,540	91,981
OLANNA	197	186	94.42%	1,541	93,125
SPOONHUNTER	208	186	89.42%	1,542	89,069
FUNMAKER	224	186	83.04%	1,543	83,834
YOUNGMAN	2,802	186	6.64%	1,544	11,275
PARNELL	14,560	186	1.28%	1,545	2,475
COUNTS	9,713	186	1.91%	1,546	3,664
SUMNER	18,838	186	0.99%	1,547	1,909
TACKETT	19,737	186	0.94%	1,548	1,818
YARBROUGH	24,749	186	0.75%	1,549	1,441
LAROSE	7,552	186	2.46%	1,550	4,697
DOCTOR	3,465	186	5.37%	1,551	9,384
SHANNON	46,147	185	0.40%	1,552	752
CHANCE	14,256	185	1.30%	1,553	2,540
CARVER	32,415	185	0.57%	1,554	1,079
GILLIS	18,834	185	0.98%	1,555	1,910
BENTLEY	40,193	185	0.46%	1,556	862
AYALA	92,463	185	0.20%	1,557	333
BRINK	11,982	185	1.54%	1,558	2,989
TRAVIS	34,985	185	0.53%	1,559	998
PAINTER	21,969	185	0.84%	1,560	1,641
BRANDON	26,284	184	0.70%	1,561	1,342
KNAPP	41,771	184	0.44%	1,562	825
CHRISTIANSEN	19,340	184	0.95%	1,563	1,854
DELEON	87,414	184	0.21%	1,564	359
CHAMPAGNE	12,023	184	1.53%	1,565	2,982
MASTERS	23,533	184	0.78%	1,566	1,524
MARCHAND	6,610	184	2.78%	1,567	5,275
BIGHORSE	220	184	83.64%	1,568	85,049
KANUHO	192	184	95.83%	1,569	95,115
BIGEAGLE	215	183	85.12%	1,570	86,645
EDISON	4,015	183	4.56%	1,571	8,250
WHITEHOUSE	6,258	183	2.92%	1,572	5,555
JIRON	2,494	183	7.34%	1,573	12,447
HUDDLESTON	17,231	183	1.06%	1,574	2,102
MONTANO	27,276	183	0.67%	1,575	1,286
LOFTON	13,900	183	1.32%	1,576	2,590
STPIERRE	9,638	183	1.90%	1,577	3,685
WESTBROOK	20,284	183	0.90%	1,578	1,770
MAYFIELD	29,805	182	0.61%	1,579	1,184
WHITING	16,418	182	1.11%	1,580	2,221
GADDY	8,342	182	2.18%	1,581	4,251
CATES	18,190	182	1.00%	1,582	1,984
DILL	18,215	182	1.00%	1,583	1,980
COWAN	32,586	182	0.56%	1,584	1,074
GORE	25,648	182	0.71%	1,585	1,378
TIDWELL	21,176	182	0.86%	1,586	1,699
SIERRA	35,770	182	0.51%	1,587	973
LAROQUE	830	182	21.93%	1,588	28,704
BLACKGOAT	197	182	92.39%	1,589	93,125
KELSEY	14,456	181	1.25%	1,590	2,501
PRYOR	27,805	181	0.65%	1,591	1,263
KEENER	13,687	181	1.32%	1,592	2,633
CLIFTON	24,758	181	0.73%	1,593	1,439
WINN	22,316	181	0.81%	1,594	1,611
STGERMAINE	759	181	23.85%	1,595	30,701
SPANG	1,570	181	11.53%	1,596	17,823
MOUSE	566	181	31.98%	1,597	38,948
LAZORE	326	180	55.21%	1,598	61,585
TWOCROW	202	180	89.11%	1,599	91,221
BLUEEYES	199	180	90.45%	1,600	92,358
GISHIE	185	180	97.30%	1,601	98,099
BARTLEY	16,689	180	1.08%	1,602	2,175
GRACE	28,098	180	0.64%	1,603	1,248
COFFMAN	24,980	180	0.72%	1,604	1,421
HOLLIDAY	20,491	180	0.88%	1,605	1,748
BLALOCK	11,493	180	1.57%	1,606	3,145
DIONNE	6,788	180	2.65%	1,607	5,153
ESQUIBEL	5,187	179	3.45%	1,608	6,532
HAYWARD	15,665	179	1.14%	1,609	2,327
COVINGTON	27,068	179	0.66%	1,610	1,298
BURNSIDE	8,859	179	2.02%	1,611	4,009
DEER	2,888	179	6.20%	1,612	11,013
CADMAN	1,131	179	15.83%	1,613	22,673
LENTE	336	179	53.27%	1,614	60,045
COWBOY	195	179	91.79%	1,615	93,921
IRONCLOUD	202	179	88.61%	1,616	91,221
TRUAX	5,968	178	2.98%	1,617	5,799
HEWITT	29,694	178	0.60%	1,618	1,191
EASLEY	16,459	178	1.08%	1,619	2,212
GRAYSON	16,946	178	1.05%	1,620	2,138
EDDY	19,321	178	0.92%	1,621	1,858
SWEAT	9,194	178	1.94%	1,622	3,856
HESTER	35,642	178	0.50%	1,623	976
RATLIFF	30,083	177	0.59%	1,624	1,168
BAIN	17,371	177	1.02%	1,625	2,082
MACE	12,222	177	1.45%	1,626	2,933
WALLER	36,805	177	0.48%	1,627	942
HUNTINGTON	7,306	177	2.42%	1,628	4,831
DRY	2,379	177	7.44%	1,629	12,921
LEFLORE	2,884	176	6.10%	1,630	11,026
IGNACIO	6,219	176	2.83%	1,631	5,594
LINDSAY	33,255	176	0.53%	1,632	1,052
EDMONDS	24,857	176	0.71%	1,633	1,432
CROMWELL	8,087	176	2.18%	1,634	4,397
SPRAGUE	22,610	176	0.78%	1,635	1,584
LIND	14,990	175	1.17%	1,636	2,416
BARRY	47,274	175	0.37%	1,637	738
CRAIN	17,650	175	0.99%	1,638	2,038
LACKEY	18,082	175	0.97%	1,639	1,996
FOLSOM	7,598	175	2.30%	1,640	4,667
NIELSEN	42,773	175	0.41%	1,641	810
PRESLEY	18,384	175	0.95%	1,642	1,968
VAUGHAN	38,830	175	0.45%	1,643	893
PIGEON	1,661	175	10.54%	1,644	17,087
VANWINKLE	7,811	174	2.23%	1,645	4,541
AHMED	48,319	174	0.36%	1,646	720
MOBLEY	29,065	174	0.60%	1,647	1,215
RITCHIE	29,040	174	0.60%	1,648	1,217
GARLAND	26,779	174	0.65%	1,649	1,309
DOBBS	18,476	174	0.94%	1,650	1,956
BINGHAM	25,941	174	0.67%	1,651	1,360
HERRING	38,733	174	0.45%	1,652	894
RICHMOND	37,053	174	0.47%	1,653	934
PETTY	34,882	174	0.50%	1,654	1,005
SOAP	248	174	70.16%	1,655	77,264
PAPPAN	475	174	36.63%	1,656	45,105
LUNSFORD	16,962	173	1.02%	1,657	2,137
CLEMONS	27,022	173	0.64%	1,658	1,300
ENRIQUEZ	41,271	173	0.42%	1,659	837
LAFONTAINE	3,652	173	4.74%	1,660	8,964
DENTON	27,742	172	0.62%	1,661	1,268
PACK	18,678	172	0.92%	1,662	1,932
LITTLELIGHT	185	172	92.97%	1,663	98,099
ERIACHO	179	172	96.09%	1,664	100,791
WHITEHAT	180	172	95.56%	1,665	100,302
SHIJE	187	171	91.44%	1,666	97,210
YANKTON	221	171	77.38%	1,667	84,748
SOCKEY	244	171	70.08%	1,668	78,316
LAVERDURE	604	171	28.31%	1,669	36,970
SCHAEFFER	16,024	171	1.07%	1,670	2,272
SANTIAGO	122,212	171	0.14%	1,671	248
LORENZO	17,825	171	0.96%	1,672	2,024
DELONG	17,844	171	0.96%	1,673	2,022
PARK	106,696	171	0.16%	1,674	289
THORNE	18,738	171	0.91%	1,675	1,922
BOLTON	32,815	171	0.52%	1,676	1,068
PICARD	7,898	171	2.17%	1,677	4,491
GOODRICH	19,487	171	0.88%	1,678	1,838
SIZEMORE	20,116	171	0.85%	1,679	1,783
RIDLEY	11,521	171	1.48%	1,680	3,133
MOUNTAIN	3,274	171	5.22%	1,681	9,877
LOTT	26,174	170	0.65%	1,682	1,350
OTT	25,738	170	0.66%	1,683	1,373
PUGH	39,559	170	0.43%	1,684	879
HORNER	23,881	170	0.71%	1,685	1,500
MADDOX	36,250	170	0.47%	1,686	959
LILLY	22,662	170	0.75%	1,687	1,580
QUIVER	200	170	85.00%	1,688	91,981
NINHAM	233	170	72.96%	1,689	81,181
DEMARRIAS	209	169	80.86%	1,690	88,685
LITTLETHUNDER	194	169	87.11%	1,691	94,311
KENDALL	31,209	169	0.54%	1,692	1,126
ROTH	58,278	169	0.29%	1,693	574
HOBSON	17,043	169	0.99%	1,694	2,128
BAUTISTA	60,264	169	0.28%	1,695	558
ANDRADE	65,037	169	0.26%	1,696	516
KIDD	33,186	169	0.51%	1,697	1,060
MAYES	25,256	169	0.67%	1,698	1,408
MAIN	12,776	169	1.32%	1,699	2,824
PEACOCK	21,712	169	0.78%	1,700	1,659
ROLLINS	35,132	169	0.48%	1,701	992
GOINGS	3,741	169	4.52%	1,702	8,765
SHOEMAKE	4,205	169	4.02%	1,703	7,870
TOWNE	6,666	169	2.54%	1,704	5,231
MONTANA	4,744	168	3.54%	1,705	7,054
HILTON	28,918	168	0.58%	1,706	1,223
KNOWLES	28,460	168	0.59%	1,707	1,239
SIMMS	26,287	168	0.64%	1,708	1,340
ACKERMAN	25,401	168	0.66%	1,709	1,398
CROWDER	24,396	168	0.69%	1,710	1,460
HATFIELD	34,381	168	0.49%	1,711	1,017
FORREST	22,954	168	0.73%	1,712	1,569
SHORTMAN	334	168	50.30%	1,713	60,347
BRAVE	580	167	28.79%	1,714	38,214
CLAYMORE	269	167	62.08%	1,715	72,332
CARLOS	15,462	167	1.08%	1,716	2,357
AKERS	25,290	167	0.66%	1,717	1,405
SEATON	9,423	167	1.77%	1,718	3,759
RODRIQUEZ	22,892	167	0.73%	1,719	1,572
EBARB	1,307	167	12.78%	1,720	20,336
LECLAIRE	2,778	167	6.01%	1,721	11,355
CHICO	3,308	166	5.02%	1,722	9,788
SKIDMORE	10,841	166	1.53%	1,723	3,310
LACY	23,110	166	0.72%	1,724	1,559
FLETT	894	166	18.57%	1,725	27,081
JUNE	4,091	166	4.06%	1,726	8,103
NAIL	7,133	166	2.33%	1,727	4,936
RUNNINGCRANE	178	166	93.26%	1,728	101,247
LAUGHING	180	166	92.22%	1,729	100,302
BLACKWOLF	212	166	78.30%	1,730	87,663
MCCOVEY	259	165	63.71%	1,731	74,608
SPOTTEDELK	184	165	89.67%	1,732	98,553
BLACKHAWK	281	165	58.72%	1,733	69,793
NOEL	31,768	165	0.52%	1,734	1,103
WORLEY	25,758	165	0.64%	1,735	1,370
HAYDEN	37,451	165	0.44%	1,736	930
TWISS	1,637	165	10.08%	1,737	17,290
BLOSSOM	1,852	165	8.91%	1,738	15,743
VILLA	52,817	164	0.31%	1,739	644
MATA	48,120	164	0.34%	1,740	724
ISAACS	14,951	164	1.10%	1,741	2,422
MCGILL	27,330	164	0.60%	1,742	1,282
MICHEL	25,578	164	0.64%	1,743	1,383
VELARDE	8,135	164	2.02%	1,744	4,371
POST	23,458	164	0.70%	1,745	1,530
CARTWRIGHT	22,156	164	0.74%	1,746	1,626
SUNDAY	3,567	164	4.60%	1,747	9,147
DUBOISE	832	164	19.71%	1,748	28,650
POYER	946	164	17.34%	1,749	25,954
BRUGUIER	218	164	75.23%	1,750	85,659
SKEETS	229	164	71.62%	1,751	82,317
CHOSA	259	164	63.32%	1,752	74,608
PUCKETT	27,627	163	0.59%	1,753	1,273
SHELL	13,369	163	1.22%	1,754	2,696
JUAREZ	101,949	163	0.16%	1,755	306
MCGOWAN	33,340	163	0.49%	1,756	1,046
CARLISLE	20,365	163	0.80%	1,757	1,763
MADDEN	35,438	163	0.46%	1,758	982
KIPP	5,978	163	2.73%	1,759	5,788
GOBERT	1,827	162	8.87%	1,760	15,907
GILLIAM	29,414	162	0.55%	1,761	1,204
LEROY	7,759	162	2.09%	1,762	4,571
PROVOST	8,742	162	1.85%	1,763	4,062
CAPPS	18,194	162	0.89%	1,764	1,983
FITZPATRICK	40,449	162	0.40%	1,765	852
HYATT	19,280	162	0.84%	1,766	1,863
GRIGSBY	11,501	162	1.41%	1,767	3,141
EDMO	199	162	81.41%	1,768	92,358
DUMARCE	200	161	80.50%	1,769	91,981
KEPLIN	220	161	73.18%	1,770	85,049
LINTON	14,354	161	1.12%	1,771	2,524
GROVER	17,534	161	0.92%	1,772	2,056
VILLANUEVA	61,883	161	0.26%	1,773	539
ABEL	18,464	161	0.87%	1,774	1,958
RHOADES	18,508	161	0.87%	1,775	1,949
HUTCHISON	24,820	161	0.65%	1,776	1,436
PARRIS	12,710	161	1.27%	1,777	2,839
NANCE	24,018	161	0.67%	1,778	1,487
HEALY	21,751	161	0.74%	1,779	1,654
MCALLISTER	29,544	160	0.54%	1,780	1,197
CALVERT	17,619	160	0.91%	1,781	2,043
ZAMORA	61,729	160	0.26%	1,782	540
JAMESON	13,255	160	1.21%	1,783	2,715
KRAMER	63,936	160	0.25%	1,784	526
SHIPLEY	19,563	160	0.82%	1,785	1,831
GOAD	9,062	160	1.77%	1,786	3,920
MCKNIGHT	34,055	160	0.47%	1,787	1,023
HURT	21,037	160	0.76%	1,788	1,708
STILES	21,357	160	0.75%	1,789	1,689
DAVISON	22,276	160	0.72%	1,790	1,617
LARVIE	216	160	74.07%	1,791	86,314
WHITEBULL	179	160	89.39%	1,792	100,791
KINSEY	16,102	159	0.99%	1,793	2,258
OGLE	14,354	159	1.11%	1,794	2,524
ALDRICH	17,509	159	0.91%	1,795	2,060
TRIPP	20,434	159	0.78%	1,796	1,753
HOYT	21,169	159	0.75%	1,797	1,701
AGUIRRE	79,517	159	0.20%	1,798	401
REYNA	35,291	159	0.45%	1,799	987
