Last Name/Surname	Total1	White2	Percentage3	Rank4	U.S. Rank5
CORNELL	21,558	19,094	88.57%	1,162	1,672
DALEY	24,901	19,079	76.62%	1,163	1,427
SCHAFFER	20,614	19,078	92.55%	1,164	1,738
DICKEY	23,320	19,055	81.71%	1,165	1,542
DUNHAM	22,362	19,035	85.12%	1,166	1,604
MESSER	20,306	19,033	93.73%	1,167	1,769
HERRON	26,559	19,022	71.62%	1,168	1,328
NOEL	31,768	19,007	59.83%	1,169	1,103
PEDERSEN	20,135	18,997	94.35%	1,170	1,780
ROOT	20,284	18,982	93.58%	1,171	1,770
FINN	20,852	18,954	90.90%	1,172	1,721
SWIFT	24,249	18,953	78.16%	1,173	1,473
AMES	22,385	18,949	84.65%	1,174	1,598
HINTON	35,606	18,928	53.16%	1,175	979
HERBERT	26,417	18,917	71.61%	1,176	1,334
KEENAN	20,353	18,902	92.87%	1,177	1,765
RAMEY	22,287	18,893	84.77%	1,178	1,616
FERRIS	20,703	18,887	91.23%	1,179	1,732
POE	23,563	18,886	80.15%	1,180	1,522
STINSON	26,681	18,882	70.77%	1,181	1,317
METZ	20,366	18,847	92.54%	1,182	1,760
WILHELM	19,913	18,846	94.64%	1,183	1,802
BEAVER	21,640	18,840	87.06%	1,184	1,665
BARNHART	20,157	18,829	93.41%	1,185	1,777
STROUD	24,211	18,819	77.73%	1,186	1,477
FOREMAN	28,605	18,816	65.78%	1,187	1,234
GAINES	43,821	18,812	42.93%	1,188	788
TOTH	19,606	18,779	95.78%	1,189	1,826
COYLE	19,931	18,761	94.13%	1,190	1,800
HOLLIS	28,617	18,753	65.53%	1,191	1,233
MINER	21,439	18,740	87.41%	1,192	1,683
BERGERON	20,073	18,734	93.33%	1,193	1,786
SIZEMORE	20,116	18,728	93.10%	1,194	1,783
GOMEZ	365,655	18,722	5.12%	1,195	51
BOUCHER	20,050	18,689	93.21%	1,196	1,791
BILLINGS	22,553	18,642	82.66%	1,197	1,588
CUMMINS	20,705	18,634	90.00%	1,198	1,731
TACKETT	19,737	18,620	94.34%	1,199	1,818
SMART	25,528	18,595	72.84%	1,200	1,388
FERREIRA	27,898	18,563	66.54%	1,201	1,260
LOVELL	21,171	18,548	87.61%	1,202	1,700
CULLEN	20,000	18,536	92.68%	1,203	1,796
WASHBURN	20,030	18,534	92.53%	1,204	1,793
KOEHLER	19,368	18,518	95.61%	1,205	1,853
GRADY	26,103	18,489	70.83%	1,206	1,355
DICK	20,923	18,467	88.26%	1,207	1,718
BIGGS	22,641	18,461	81.54%	1,208	1,581
MCGILL	27,330	18,453	67.52%	1,209	1,282
ALDRIDGE	23,034	18,448	80.09%	1,210	1,562
WHALEY	22,833	18,447	80.79%	1,211	1,575
URBAN	20,058	18,445	91.96%	1,212	1,790
WOMACK	28,201	18,376	65.16%	1,213	1,245
GODWIN	22,628	18,360	81.14%	1,214	1,583
DIAMOND	21,586	18,352	85.02%	1,215	1,670
BARNARD	20,366	18,305	89.88%	1,216	1,760
ABRAMS	25,534	18,287	71.62%	1,217	1,387
DORSEY	43,631	18,255	41.84%	1,218	793
LEVIN	19,144	18,254	95.35%	1,219	1,876
ROUSE	26,519	18,253	68.83%	1,220	1,330
YOST	19,210	18,250	95.00%	1,221	1,869
BROUSSARD	26,971	18,246	67.65%	1,222	1,302
CREWS	24,219	18,242	75.32%	1,223	1,475
PAULSON	19,331	18,229	94.30%	1,224	1,857
LESLIE	25,078	18,217	72.64%	1,225	1,417
GORE	25,648	18,215	71.02%	1,226	1,378
SWAN	23,001	18,210	79.17%	1,227	1,564
WESTON	25,637	18,187	70.94%	1,228	1,380
CRONIN	19,078	18,181	95.30%	1,229	1,883
KRAUS	19,028	18,174	95.51%	1,230	1,890
NOWAK	18,891	18,158	96.12%	1,231	1,902
BURGER	19,480	18,153	93.19%	1,232	1,840
MILLIGAN	22,416	18,150	80.97%	1,233	1,597
PEACOCK	21,712	18,149	83.59%	1,234	1,659
CONNORS	19,637	18,137	92.36%	1,235	1,823
ENGLE	19,226	18,130	94.30%	1,236	1,866
CHRISTIANSEN	19,340	18,120	93.69%	1,237	1,854
SOUZA	22,373	18,118	80.98%	1,238	1,601
KENDRICK	27,915	18,117	64.90%	1,239	1,259
BONNER	33,446	18,098	54.11%	1,240	1,042
CASTLE	20,534	18,078	88.04%	1,241	1,744
ROMERO	208,614	18,045	8.65%	1,242	115
DIAZ	347,636	18,042	5.19%	1,243	55
HAGAN	21,017	18,035	85.81%	1,244	1,710
GIFFORD	19,514	18,025	92.37%	1,245	1,834
MCNEIL	34,368	18,019	52.43%	1,246	1,018
DREW	23,722	18,010	75.92%	1,247	1,513
BOWDEN	24,560	18,000	73.29%	1,248	1,450
TEMPLE	22,549	17,983	79.75%	1,249	1,590
CAUDILL	18,822	17,966	95.45%	1,250	1,913
MAGEE	27,720	17,954	64.77%	1,251	1,269
CHILDS	28,359	17,951	63.30%	1,252	1,242
SHIPLEY	19,563	17,943	91.72%	1,253	1,831
DIEHL	18,815	17,918	95.23%	1,254	1,916
JACOBSEN	18,820	17,887	95.04%	1,255	1,914
MCKINLEY	24,000	17,875	74.48%	1,256	1,489
THOMASON	20,478	17,849	87.16%	1,257	1,751
HOSKINS	24,581	17,846	72.60%	1,258	1,449
HOUSER	20,484	17,833	87.06%	1,259	1,749
MCGRAW	21,614	17,829	82.49%	1,260	1,668
KILGORE	21,627	17,823	82.41%	1,261	1,667
GILLIAM	29,414	17,810	60.55%	1,262	1,204
TIDWELL	21,176	17,788	84.00%	1,263	1,699
BEYER	18,641	17,784	95.40%	1,264	1,937
MCCRACKEN	19,287	17,783	92.20%	1,265	1,862
COULTER	20,757	17,778	85.65%	1,266	1,725
CROCKER	20,370	17,775	87.26%	1,267	1,757
LANDIS	18,826	17,774	94.41%	1,268	1,912
CHAPPELL	23,634	17,773	75.20%	1,269	1,516
DIETZ	18,720	17,735	94.74%	1,270	1,925
LOCKHART	27,883	17,731	63.59%	1,271	1,261
SILVER	22,052	17,714	80.33%	1,272	1,632
BRAGG	21,934	17,710	80.74%	1,273	1,643
SPANGLER	18,622	17,700	95.05%	1,274	1,940
DAVISON	22,276	17,692	79.42%	1,275	1,617
PLUMMER	25,596	17,654	68.97%	1,276	1,382
DUVALL	19,844	17,653	88.96%	1,277	1,811
EDDY	19,321	17,599	91.09%	1,278	1,858
MCHUGH	18,422	17,554	95.29%	1,279	1,962
SHELDON	19,339	17,548	90.74%	1,280	1,855
VICKERS	22,176	17,535	79.07%	1,281	1,625
YARBROUGH	24,749	17,475	70.61%	1,282	1,441
LILLY	22,662	17,443	76.97%	1,283	1,580
GOODRICH	19,487	17,443	89.51%	1,284	1,838
ERNST	18,361	17,437	94.97%	1,285	1,969
HEDRICK	18,804	17,433	92.71%	1,286	1,918
BUNCH	22,117	17,411	78.72%	1,287	1,629
BOSWELL	22,540	17,381	77.11%	1,288	1,591
LAND	21,116	17,370	82.26%	1,289	1,704
KOWALSKI	18,077	17,363	96.05%	1,290	1,999
NORTH	20,343	17,328	85.18%	1,291	1,766
PETTIT	19,004	17,322	91.15%	1,292	1,892
ALLRED	18,526	17,318	93.48%	1,293	1,947
PEREIRA	29,898	17,317	57.92%	1,294	1,175
WHITMAN	19,399	17,316	89.26%	1,295	1,851
LOCKWOOD	19,865	17,298	87.08%	1,296	1,806
BASSETT	20,482	17,283	84.38%	1,297	1,750
GRIGGS	24,819	17,279	69.62%	1,298	1,437
CRUZ	334,201	17,278	5.17%	1,299	57
SADLER	21,504	17,246	80.20%	1,300	1,678
WISEMAN	19,439	17,244	88.71%	1,301	1,845
NANCE	24,018	17,233	71.75%	1,302	1,487
DEAL	20,366	17,224	84.57%	1,303	1,760
WADDELL	21,301	17,222	80.85%	1,304	1,691
PUTNAM	18,340	17,199	93.78%	1,305	1,971
LAYTON	19,504	17,199	88.18%	1,306	1,836
RAINES	21,518	17,197	79.92%	1,307	1,676
LEDFORD	18,532	17,179	92.70%	1,308	1,946
GALLO	23,056	17,172	74.48%	1,309	1,560
LOTT	26,174	17,160	65.56%	1,310	1,350
FLAHERTY	17,926	17,157	95.71%	1,311	2,013
COTTON	33,374	17,141	51.36%	1,312	1,044
RIZZO	18,605	17,139	92.12%	1,313	1,943
RAMOS	263,464	17,099	6.49%	1,314	76
OGDEN	18,860	17,085	90.59%	1,315	1,906
CAPPS	18,194	17,071	93.83%	1,316	1,983
CARTWRIGHT	22,156	17,060	77.00%	1,317	1,626
BERNSTEIN	17,916	17,058	95.21%	1,318	2,015
TRIPP	20,434	17,058	83.48%	1,319	1,753
ASH	21,030	17,053	81.09%	1,320	1,709
STACY	19,010	17,029	89.58%	1,321	1,891
KISER	18,674	17,014	91.11%	1,322	1,934
VOGT	18,061	17,010	94.18%	1,323	2,002
MCMULLEN	20,545	17,003	82.76%	1,324	1,742
RHOADES	18,508	16,994	91.82%	1,325	1,949
NEELY	23,843	16,979	71.21%	1,326	1,502
HYATT	19,280	16,964	87.99%	1,327	1,863
DUNBAR	26,405	16,957	64.22%	1,328	1,335
PELLETIER	17,808	16,935	95.10%	1,329	2,026
HANLEY	19,240	16,929	87.99%	1,330	1,864
COLVIN	22,499	16,926	75.23%	1,331	1,592
BULLARD	23,755	16,925	71.25%	1,332	1,509
CARLTON	21,202	16,896	79.69%	1,333	1,698
MINOR	30,702	16,886	55.00%	1,334	1,145
GOLD	18,698	16,862	90.18%	1,335	1,928
THURMAN	23,950	16,861	70.40%	1,336	1,492
HADLEY	21,771	16,855	77.42%	1,337	1,653
FORREST	22,954	16,846	73.39%	1,338	1,569
BERGMAN	17,846	16,841	94.37%	1,339	2,021
BURKETT	19,369	16,830	86.89%	1,340	1,852
LATHAM	21,277	16,815	79.03%	1,341	1,693
WINN	22,316	16,799	75.28%	1,342	1,611
ALBRECHT	17,581	16,769	95.38%	1,343	2,047
OMALLEY	17,588	16,751	95.24%	1,344	2,046
TOBIN	18,932	16,747	88.46%	1,345	1,896
BUCKNER	24,822	16,733	67.41%	1,346	1,434
PRYOR	27,805	16,730	60.17%	1,347	1,263
LAIRD	18,696	16,727	89.47%	1,348	1,929
BRANDON	26,284	16,719	63.61%	1,349	1,342
BAUMAN	17,641	16,706	94.70%	1,350	2,040
SNELL	22,177	16,697	75.29%	1,351	1,623
MOBLEY	29,065	16,695	57.44%	1,352	1,215
BRANCH	35,225	16,686	47.37%	1,353	990
GROSSMAN	17,484	16,681	95.41%	1,354	2,067
DELONG	17,844	16,673	93.44%	1,355	2,022
COPE	18,410	16,661	90.50%	1,356	1,964
IVEY	23,263	16,661	71.62%	1,357	1,546
SWAIN	25,157	16,646	66.17%	1,358	1,412
TROYER	16,981	16,635	97.96%	1,359	2,132
HATHAWAY	18,401	16,616	90.30%	1,360	1,966
VINSON	25,341	16,616	65.57%	1,361	1,401
FARR	20,011	16,613	83.02%	1,362	1,794
BATEMAN	19,001	16,584	87.28%	1,363	1,893
CORCORAN	17,607	16,581	94.17%	1,364	2,044
NEUMANN	17,484	16,575	94.80%	1,365	2,067
BLUM	17,458	16,561	94.86%	1,366	2,072
DILLARD	31,021	16,547	53.34%	1,367	1,130
KEEN	18,459	16,547	89.64%	1,368	1,959
WEIR	18,881	16,544	87.62%	1,369	1,903
SUMNER	18,838	16,540	87.80%	1,370	1,909
DOTY	17,965	16,526	91.99%	1,371	2,009
SKAGGS	17,778	16,525	92.95%	1,372	2,028
SHULTZ	17,395	16,515	94.94%	1,373	2,080
OKEEFE	17,414	16,495	94.72%	1,374	2,079
STERLING	25,894	16,471	63.61%	1,375	1,362
ECKERT	17,269	16,463	95.33%	1,376	2,093
BENOIT	20,160	16,459	81.64%	1,377	1,775
MADSEN	17,364	16,458	94.78%	1,378	2,083
DARLING	18,879	16,449	87.13%	1,379	1,904
HINSON	19,857	16,440	82.79%	1,380	1,807
COATES	23,725	16,396	69.11%	1,381	1,512
ZIMMER	17,146	16,395	95.62%	1,382	2,111
SCHUSTER	17,325	16,370	94.49%	1,383	2,088
LEDBETTER	19,417	16,370	84.31%	1,384	1,847
MCGOVERN	17,257	16,361	94.81%	1,385	2,095
MOHR	17,180	16,324	95.02%	1,386	2,106
ABEL	18,464	16,293	88.24%	1,387	1,958
MANSFIELD	18,725	16,261	86.84%	1,388	1,923
SHEARER	17,707	16,239	91.71%	1,389	2,033
MEDEIROS	19,031	16,239	85.33%	1,390	1,889
CROWDER	24,396	16,233	66.54%	1,391	1,460
REEDER	19,155	16,217	84.66%	1,392	1,874
HIRSCH	17,072	16,189	94.83%	1,393	2,120
ALDRICH	17,509	16,187	92.45%	1,394	2,060
NAPIER	19,182	16,170	84.30%	1,395	1,872
HAWLEY	18,100	16,158	89.27%	1,396	1,993
KNUTSON	16,910	16,151	95.51%	1,397	2,145
CARLISLE	20,365	16,151	79.31%	1,398	1,763
ROCK	19,313	16,150	83.62%	1,399	1,859
CAGLE	17,647	16,143	91.48%	1,400	2,039
HOFFMANN	16,966	16,130	95.07%	1,401	2,136
MCCORMACK	17,449	16,128	92.43%	1,402	2,074
HANKINS	21,532	16,121	74.87%	1,403	1,675
SCHWAB	16,870	16,119	95.55%	1,404	2,152
KEATING	17,060	16,098	94.36%	1,405	2,121
BLAND	26,722	16,087	60.20%	1,406	1,315
WAITE	18,664	16,083	86.17%	1,407	1,936
MICHAELS	17,528	16,080	91.74%	1,408	2,057
BUSCH	17,354	16,078	92.65%	1,409	2,086
GRECO	17,150	16,076	93.74%	1,410	2,110
HOFF	17,223	16,066	93.28%	1,411	2,103
BEAL	20,752	16,043	77.31%	1,412	1,726
JUDD	18,110	16,038	88.56%	1,413	1,991
CAVANAUGH	17,577	16,014	91.11%	1,414	2,049
STORY	19,218	16,003	83.27%	1,415	1,867
OLIVEIRA	19,055	15,993	83.93%	1,416	1,887
FITCH	19,060	15,978	83.83%	1,417	1,885
SCHULTE	16,658	15,972	95.88%	1,418	2,183
SCHRADER	16,727	15,968	95.46%	1,419	2,171
DILL	18,215	15,967	87.66%	1,420	1,980
GUNN	23,524	15,959	67.84%	1,421	1,525
WYNN	29,417	15,956	54.24%	1,422	1,203
JOYNER	29,884	15,931	53.31%	1,423	1,177
MAGUIRE	16,713	15,921	95.26%	1,424	2,173
BRAND	19,135	15,909	83.14%	1,425	1,879
GERBER	16,732	15,882	94.92%	1,426	2,170
MURDOCK	19,873	15,871	79.86%	1,427	1,804
RICHEY	18,296	15,863	86.70%	1,428	1,977
FERNANDEZ	180,842	15,860	8.77%	1,429	142
ULRICH	16,668	15,855	95.12%	1,430	2,180
OAKES	17,499	15,849	90.57%	1,431	2,065
QUIGLEY	17,121	15,837	92.50%	1,432	2,113
PRATER	19,484	15,821	81.20%	1,433	1,839
DASILVA	20,338	15,815	77.76%	1,434	1,767
KOHLER	16,686	15,807	94.73%	1,435	2,177
CATES	18,190	15,805	86.89%	1,436	1,984
LANDERS	19,144	15,805	82.56%	1,437	1,876
SPAULDING	18,902	15,802	83.60%	1,438	1,899
GUIDRY	20,600	15,767	76.54%	1,439	1,739
ROONEY	16,823	15,765	93.71%	1,440	2,156
MCWILLIAMS	20,523	15,741	76.70%	1,441	1,746
BAER	16,587	15,728	94.82%	1,442	2,192
JAMISON	27,697	15,704	56.70%	1,443	1,270
DARNELL	17,915	15,692	87.59%	1,444	2,016
SCHILLING	16,546	15,681	94.77%	1,445	2,200
COON	17,097	15,680	91.71%	1,446	2,116
HACKETT	20,278	15,667	77.26%	1,447	1,772
RIVERS	38,662	15,647	40.47%	1,448	897
CONROY	16,651	15,645	93.96%	1,449	2,184
TRENT	19,630	15,639	79.67%	1,450	1,824
MADISON	28,411	15,637	55.04%	1,451	1,241
STOLTZFUS	15,786	15,628	99.00%	1,452	2,311
KEARNEY	20,706	15,623	75.45%	1,453	1,730
PAPPAS	16,559	15,607	94.25%	1,454	2,198
PLATT	18,022	15,602	86.57%	1,455	2,006
BURKHART	16,526	15,596	94.37%	1,456	2,204
ADLER	16,412	15,575	94.90%	1,457	2,223
STAPLETON	18,332	15,569	84.93%	1,458	1,973
HUTTON	18,479	15,565	84.23%	1,459	1,955
CRANDALL	16,781	15,559	92.72%	1,460	2,163
KINCAID	18,075	15,557	86.07%	1,461	2,000
HARDEN	26,617	15,539	58.38%	1,462	1,322
PACK	18,678	15,529	83.14%	1,463	1,932
JANSEN	16,596	15,527	93.56%	1,464	2,189
READ	17,048	15,527	91.08%	1,465	2,127
ATWOOD	17,112	15,519	90.69%	1,466	2,114
BENEDICT	17,036	15,516	91.08%	1,467	2,130
DUTTON	17,057	15,512	90.94%	1,468	2,123
CRUM	17,944	15,505	86.41%	1,469	2,010
CALVERT	17,619	15,494	87.94%	1,470	2,043
SLAUGHTER	27,155	15,492	57.05%	1,471	1,295
OROURKE	16,457	15,488	94.11%	1,472	2,213
SEWELL	22,294	15,488	69.47%	1,473	1,614
KENNY	17,429	15,486	88.85%	1,474	2,077
MUNSON	17,745	15,483	87.25%	1,475	2,030
SHAVER	16,972	15,480	91.21%	1,476	2,135
THAYER	16,625	15,473	93.07%	1,477	2,186
ADAIR	18,708	15,470	82.69%	1,478	1,927
GIORDANO	16,569	15,459	93.30%	1,479	2,197
HAY	18,029	15,458	85.74%	1,480	2,005
MAST	15,932	15,452	96.99%	1,481	2,288
MARCUM	16,246	15,421	94.92%	1,482	2,244
VANDYKE	17,030	15,405	90.46%	1,483	2,131
MCCOLLUM	19,990	15,380	76.94%	1,484	1,798
ROSENTHAL	16,583	15,376	92.72%	1,485	2,194
SAPP	20,448	15,367	75.15%	1,486	1,752
FONTENOT	20,035	15,363	76.68%	1,487	1,792
LIGHT	16,769	15,359	91.59%	1,488	2,164
SCHREIBER	16,034	15,353	95.75%	1,489	2,269
WALDRON	17,501	15,329	87.59%	1,490	2,063
BAUM	16,334	15,325	93.82%	1,491	2,230
HURD	20,540	15,313	74.55%	1,492	1,743
TYSON	28,947	15,301	52.86%	1,493	1,221
DELUCA	16,066	15,256	94.96%	1,494	2,263
MATTSON	16,203	15,249	94.11%	1,495	2,247
HENNING	16,557	15,242	92.06%	1,496	2,199
RADER	16,320	15,238	93.37%	1,497	2,233
FRIEND	17,635	15,237	86.40%	1,498	2,041
BRENNER	16,114	15,215	94.42%	1,499	2,255
SPICER	18,501	15,210	82.21%	1,500	1,951
DOSS	21,366	15,208	71.18%	1,501	1,687
LACKEY	18,082	15,202	84.07%	1,502	1,996
STAUFFER	15,821	15,194	96.04%	1,503	2,307
BUTTS	23,227	15,193	65.41%	1,504	1,548
SHOOK	16,070	15,186	94.50%	1,505	2,262
REAGAN	16,491	15,180	92.05%	1,506	2,207
CODY	19,600	15,180	77.45%	1,507	1,828
STANFORD	21,295	15,173	71.25%	1,508	1,692
DORAN	16,704	15,171	90.82%	1,509	2,174
GOINS	22,837	15,171	66.43%	1,510	1,574
ALTMAN	16,448	15,167	92.21%	1,511	2,217
ROMAN	72,918	15,160	20.79%	1,512	452
MAYES	25,256	15,156	60.01%	1,513	1,408
LANGFORD	19,208	15,151	78.88%	1,514	1,870
DOBBS	18,476	15,148	81.99%	1,515	1,956
CRAIN	17,650	15,144	85.80%	1,516	2,038
SORENSON	15,962	15,126	94.76%	1,517	2,284
EDMONDS	24,857	15,111	60.79%	1,518	1,432
WETZEL	15,849	15,109	95.33%	1,519	2,300
ROCHE	18,940	15,103	79.74%	1,520	1,895
LAUGHLIN	16,323	15,102	92.52%	1,521	2,232
KEENE	17,711	15,084	85.17%	1,522	2,032
BERMAN	16,025	15,083	94.12%	1,523	2,271
HONEYCUTT	16,587	15,079	90.91%	1,524	2,192
SHEFFIELD	19,738	15,072	76.36%	1,525	1,817
HERNDON	19,183	15,055	78.48%	1,526	1,871
MCLAIN	17,152	15,039	87.68%	1,527	2,109
DIETRICH	15,904	15,036	94.54%	1,528	2,291
MCNALLY	16,039	15,029	93.70%	1,529	2,268
EUBANKS	20,424	15,028	73.58%	1,530	1,755
RUSHING	19,604	15,011	76.57%	1,531	1,827
JEFFRIES	23,510	14,988	63.75%	1,532	1,526
KYLE	18,721	14,975	79.99%	1,533	1,924
ERVIN	25,698	14,974	58.27%	1,534	1,377
SCHWARZ	15,884	14,972	94.26%	1,535	2,295
THORPE	21,813	14,968	68.62%	1,536	1,651
DOBSON	19,419	14,939	76.93%	1,537	1,846
STALEY	18,080	14,929	82.57%	1,538	1,998
RING	16,381	14,921	91.09%	1,539	2,226
JARRETT	21,821	14,919	68.37%	1,540	1,648
BROWNE	22,289	14,911	66.90%	1,541	1,615
HURT	21,037	14,894	70.80%	1,542	1,708
SYKES	27,546	14,883	54.03%	1,543	1,276
SAYLOR	16,010	14,880	92.94%	1,544	2,276
SCHAEFFER	16,024	14,877	92.84%	1,545	2,272
SANDS	18,584	14,876	80.05%	1,546	1,944
MOSHER	15,672	14,838	94.68%	1,547	2,325
GILLIS	18,834	14,830	78.74%	1,548	1,910
HUGGINS	22,371	14,830	66.29%	1,549	1,602
EASTMAN	16,791	14,828	88.31%	1,550	2,162
GAUTHIER	16,852	14,808	87.87%	1,551	2,153
JACOB	24,688	14,808	59.98%	1,552	1,444
AMOS	23,621	14,789	62.61%	1,553	1,517
WAITERS	19,853	14,787	74.48%	1,554	1,809
NAGY	15,497	14,778	95.36%	1,555	2,354
STONER	16,204	14,767	91.13%	1,556	2,246
POSEY	20,263	14,766	72.87%	1,557	1,773
CLEARY	15,980	14,762	92.38%	1,558	2,280
HAUSER	15,981	14,758	92.35%	1,559	2,279
BURROWS	17,355	14,738	84.92%	1,560	2,085
FAGAN	17,501	14,732	84.18%	1,561	2,063
RAINEY	23,291	14,715	63.18%	1,562	1,545
STREET	19,866	14,713	74.06%	1,563	1,805
LUNSFORD	16,962	14,708	86.71%	1,564	2,137
BAIN	17,371	14,694	84.59%	1,565	2,082
VARNER	18,081	14,667	81.12%	1,566	1,997
MONAHAN	15,533	14,658	94.37%	1,567	2,347
CROCKETT	23,769	14,658	61.67%	1,568	1,507
ROPER	20,065	14,655	73.04%	1,569	1,787
HENLEY	20,934	14,654	70.00%	1,570	1,717
OAKLEY	17,238	14,649	84.98%	1,571	2,099
SAUER	15,430	14,646	94.92%	1,572	2,364
CHRISTIE	18,681	14,646	78.40%	1,573	1,931
RIDER	16,352	14,615	89.38%	1,574	2,227
WHITT	17,293	14,614	84.51%	1,575	2,092
LACY	23,110	14,610	63.22%	1,576	1,559
LOMBARDO	15,598	14,590	93.54%	1,577	2,336
CORNELIUS	20,160	14,560	72.22%	1,578	1,775
HORVATH	15,302	14,558	95.14%	1,579	2,379
HANKS	17,498	14,548	83.14%	1,580	2,066
HUMPHRIES	18,201	14,541	79.89%	1,581	1,981
CULVER	17,566	14,525	82.69%	1,582	2,051
CHADWICK	16,415	14,513	88.41%	1,583	2,222
DENNY	17,503	14,512	82.91%	1,584	2,062
MOTT	17,092	14,484	84.74%	1,585	2,117
REDMOND	21,834	14,472	66.28%	1,586	1,647
HAWK	16,884	14,466	85.68%	1,587	2,149
RUDOLPH	19,854	14,466	72.86%	1,588	1,808
REYES	327,904	14,461	4.41%	1,589	60
HUDDLESTON	17,231	14,459	83.91%	1,590	2,102
IRVIN	21,263	14,459	68.00%	1,591	1,695
WESTBROOK	20,284	14,446	71.22%	1,592	1,770
CORNETT	15,733	14,440	91.78%	1,593	2,322
MORALES	311,777	14,435	4.63%	1,594	63
GROVER	17,534	14,380	82.01%	1,595	2,056
SPIVEY	21,161	14,375	67.93%	1,596	1,702
BURNHAM	15,775	14,347	90.95%	1,597	2,315
CORMIER	17,377	14,346	82.56%	1,598	2,081
RODRIGUES	31,280	14,342	45.85%	1,599	1,122
LENTZ	15,126	14,315	94.64%	1,600	2,396
BRUNNER	15,593	14,314	91.80%	1,601	2,337
LEONE	15,364	14,301	93.08%	1,602	2,372
HUSTON	16,435	14,295	86.98%	1,603	2,218
BURKS	27,523	14,295	51.94%	1,604	1,278
PARR	16,286	14,281	87.69%	1,605	2,239
CALL	15,324	14,268	93.11%	1,606	2,376
MCCORD	17,875	14,252	79.73%	1,607	2,019
DUFF	16,536	14,246	86.15%	1,608	2,202
BRYSON	18,486	14,243	77.05%	1,609	1,954
ORTIZ	286,899	14,230	4.96%	1,610	68
BREWSTER	19,564	14,227	72.72%	1,611	1,830
MATTINGLY	15,050	14,218	94.47%	1,612	2,411
TALBOT	15,562	14,210	91.31%	1,613	2,342
CARMICHAEL	19,628	14,197	72.33%	1,614	1,825
KERNS	15,614	14,190	90.88%	1,615	2,333
DOWLING	16,238	14,176	87.30%	1,616	2,245
BECKMAN	15,045	14,175	94.22%	1,617	2,412
HUMMEL	14,715	14,171	96.30%	1,618	2,453
GANNON	14,981	14,169	94.58%	1,619	2,418
LANIER	20,997	14,169	67.48%	1,620	1,712
ADAMSON	16,515	14,153	85.70%	1,621	2,205
THORNE	18,738	14,147	75.50%	1,622	1,922
ASHBY	17,482	14,146	80.92%	1,623	2,069
LANGSTON	19,742	14,145	71.65%	1,624	1,816
HOSTETLER	14,505	14,137	97.46%	1,625	2,490
PYLE	15,180	14,134	93.11%	1,626	2,389
FENTON	16,017	14,132	88.23%	1,627	2,274
LADD	16,112	14,125	87.67%	1,628	2,256
ARNETT	16,499	14,117	85.56%	1,629	2,206
COTTRELL	16,930	14,116	83.38%	1,630	2,141
HOLLIDAY	20,491	14,116	68.89%	1,631	1,748
ABRAHAM	31,303	14,086	45.00%	1,632	1,120
HERSHBERGER	14,357	14,081	98.08%	1,633	2,523
GENTILE	14,873	14,071	94.61%	1,634	2,436
NUGENT	15,977	14,021	87.76%	1,635	2,281
BURK	15,500	14,014	90.41%	1,636	2,352
TIMMONS	20,671	14,007	67.76%	1,637	1,734
WHITTINGTON	17,517	14,000	79.92%	1,638	2,059
KEARNS	15,136	13,998	92.48%	1,639	2,394
QUEEN	18,557	13,996	75.42%	1,640	1,945
ROWLEY	15,588	13,965	89.59%	1,641	2,338
COMER	16,893	13,949	82.57%	1,642	2,148
COE	16,819	13,923	82.78%	1,643	2,157
AMBROSE	17,178	13,921	81.04%	1,644	2,107
SILVERMAN	14,636	13,917	95.09%	1,645	2,463
GRUBB	14,673	13,917	94.85%	1,646	2,456
CLEMONS	27,022	13,911	51.48%	1,647	1,300
CRAVEN	15,567	13,903	89.31%	1,648	2,341
GABRIEL	26,578	13,903	52.31%	1,649	1,327
MEEHAN	14,630	13,893	94.96%	1,650	2,464
TILLMAN	30,825	13,890	45.06%	1,651	1,139
BAUMANN	14,644	13,884	94.81%	1,652	2,461
UNGER	14,738	13,880	94.18%	1,653	2,449
CROWELL	17,467	13,876	79.44%	1,654	2,071
WAGONER	15,118	13,875	91.78%	1,655	2,401
BLEDSOE	18,510	13,866	74.91%	1,656	1,948
BETTS	19,983	13,856	69.34%	1,657	1,799
DEMARCO	14,731	13,846	93.99%	1,658	2,452
PRESLEY	18,384	13,839	75.28%	1,659	1,968
WAGGONER	14,983	13,838	92.36%	1,660	2,417
NAYLOR	16,745	13,815	82.50%	1,661	2,169
BARTH	14,579	13,808	94.71%	1,662	2,474
TILLEY	15,758	13,802	87.59%	1,663	2,318
SKELTON	15,624	13,801	88.33%	1,664	2,330
COUGHLIN	14,434	13,795	95.57%	1,665	2,510
NAGEL	14,545	13,787	94.79%	1,666	2,480
SYLVESTER	18,896	13,787	72.96%	1,667	1,901
HANNAH	20,138	13,786	68.46%	1,668	1,779
HARMAN	14,658	13,783	94.03%	1,669	2,458
NEWSOME	23,958	13,783	57.53%	1,670	1,491
BEEBE	14,847	13,780	92.81%	1,671	2,441
CONN	15,089	13,779	91.32%	1,672	2,404
COREY	15,569	13,758	88.37%	1,673	2,340
FAY	14,849	13,753	92.62%	1,674	2,440
JOHN	33,543	13,746	40.98%	1,675	1,034
DURBIN	14,650	13,737	93.77%	1,676	2,459
SIMMS	26,287	13,732	52.24%	1,677	1,340
